Case,Kernel_Name,Execution_Count
qwen3-32b-omega,"void at::native::(anonymous namespace)::distribution_elementwise_grid_stride_kernel<float, 4, void at::native::templates::cuda::uniform_and_transform<float, float, at::CUDAGeneratorImpl*, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl*>(at::TensorIteratorBase&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl*>(at::TensorIteratorBase&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1})::{lambda(curandStatePhilox4_32_10*)#2}, void at::native::(anonymous namespace)::distribution_nullary_kernel<float, float, float4, at::CUDAGeneratorImpl*, void at::native::templates::cuda::uniform_and_transform<float, float, at::CUDAGeneratorImpl*, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl*>(at::TensorIteratorBase&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl*>(at::TensorIteratorBase&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1})::{lambda(curandStatePhilox4_32_10*)#2}, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl*>(at::TensorIteratorBase&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, void at::native::templates::cuda::uniform_and_transform<float, float, at::CUDAGeneratorImpl*, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl*>(at::TensorIteratorBase&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl*>(at::TensorIteratorBase&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1})::{lambda(curandStatePhilox4_32_10*)#2} const&, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl*>(at::TensorIteratorBase&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1})::{lambda(int, float)#1}>(long, at::PhiloxCudaState, void at::native::templates::cuda::uniform_and_transform<float, float, at::CUDAGeneratorImpl*, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl*>(at::TensorIteratorBase&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl*>(at::TensorIteratorBase&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1})::{lambda(curandStatePhilox4_32_10*)#2}, void at::native::(anonymous namespace)::distribution_nullary_kernel<float, float, float4, at::CUDAGeneratorImpl*, void at::native::templates::cuda::uniform_and_transform<float, float, at::CUDAGeneratorImpl*, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl*>(at::TensorIteratorBase&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl*>(at::TensorIteratorBase&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1})::{lambda(curandStatePhilox4_32_10*)#2}, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl*>(at::TensorIteratorBase&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, void at::native::templates::cuda::uniform_and_transform<float, float, at::CUDAGeneratorImpl*, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl*>(at::TensorIteratorBase&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl*>(at::TensorIteratorBase&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1})::{lambda(curandStatePhilox4_32_10*)#2} const&, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl*>(at::TensorIteratorBase&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1})::{lambda(int, float)#1})",108
qwen3-32b-omega,"void flashinfer::sampling::TopKTopPSamplingFromProbKernel<(unsigned int)1024, (cub::CUB_200500_700_750_800_860_890_900_NS::BlockScanAlgorithm)2, (cub::CUB_200500_700_750_800_860_890_900_NS::BlockReduceAlgorithm)2, (unsigned int)4, false, float, int>(float*, float*, int*, float*, int*, bool*, int, float, unsigned int, unsigned int)",108
qwen3-32b-omega,nvjet_tss_512x72_64x2_2x1_v_bz_coopA_TNT,107
qwen3-32b-omega,nvjet_tst_96x64_64x8_2x1_v_bz_splitK_NNN,64
qwen3-32b-omega,"void rtp_llm::lookupHiddenStateOfLastToken<__nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16 const*, int const*, int, int, int)",14
qwen3-32b-omega,nvjet_tss_512x64_64x2_2x1_v_bz_coopB_TNN,1
recommend-intent,"void cublasLt::splitKreduce_kernel<32, 16, int, float, __half, float, false, float, __half, __half, true, false, false>(cublasLt::cublasSplitKParams<float>, float const*, __half const*, float*, __half*, float const*, float const*, __half const*, float const*, __half*, void*, long, float*, int*, float*, float const*, float const*, float const*, float const*)",6988
recommend-intent,"rtp_llm::ConvertOffsetToBlockArrayData(int*, int const*, int, int, int)",6482
recommend-intent,"void rtp_llm::generalRmsNorm<__half2, true, false, true, false, signed char>(__half2*, __half2*, __half2 const*, __half2 const*, __half2 const*, __half2 const*, __half2 const*, __half2 const*, float, int, int, float const*, float*, signed char*)",5798
recommend-intent,"void flashinfer::activation::act_and_mul_kernel<__half, &silu(float const&)>(__half*, __half const*, int)",5798
recommend-intent,"void rtp_llm::addBiasResidual<__half, 1, __half>(__half*, __half const*, __half const*, __half const*, __half const*, float const*, float const*, int, int)",5798
recommend-intent,"void rtp_llm::generalRmsNorm<__half2, false, false, true, false, signed char>(__half2*, __half2*, __half2 const*, __half2 const*, __half2 const*, __half2 const*, __half2 const*, __half2 const*, float, int, int, float const*, float*, signed char*)",5797
recommend-intent,"void rtp_llm::fusedQkRmsNorm<__half2, false>(__half2*, __half2 const*, __half2 const*, __half2 const*, __half2 const*, int, int, float, int, int)",5797
recommend-intent,"void rtp_llm::masked_multihead_attention_kernel<unsigned short, unsigned short, rtp_llm::KVBlockArray, (unsigned int)128, (unsigned int)512, false, false, true, (rtp_llm::RopeStyle)1, (unsigned int)16, (unsigned int)16, (unsigned int)4, (unsigned int)8>(rtp_llm::Multihead_attention_params<unsigned short, false>, rtp_llm::KVBlockArray)",3242
recommend-intent,"void rtp_llm::add_fusedQKV_bias_transpose_kernel<__half, __half, false, false, (rtp_llm::RopeStyle)1>(__half*, __half*, __half*, rtp_llm::PrefixPromptBatchWeightsParam, __half*, void*, int const*, __half const*, int const*, int const*, int, int, int, int, int, rtp_llm::RopeConfig, bool, bool, bool, bool, bool)",3240
recommend-intent,fmha_v2_flash_attention_fp16_64_128_S_128_causal_tma_ws_sm90_kernel,3240
recommend-intent,nvjet_hsh_128x8_64x12_4x1_v_bz_splitK_NNT,2558
recommend-intent,nvjet_hsh_256x8_64x6_2x1_v_bz_NNT,2558
recommend-intent,nvjet_hsh_256x8_64x6_2x1_v_bz_splitK_NNT,2558
recommend-intent,nvjet_hsh_128x8_64x12_4x1_v_bz_NNT,2557
recommend-intent,nvjet_hsh_256x64_64x5_2x1_v_bz_NNT,792
recommend-intent,nvjet_hsh_256x72_64x5_2x1_v_bz_NNT,792
recommend-intent,nvjet_hsh_256x144_64x4_2x1_v_bz_coopA_NNT,648
recommend-intent,nvjet_hsh_256x152_64x4_2x1_v_bz_coopA_NNT,540
recommend-intent,nvjet_hsh_256x160_64x4_2x1_v_bz_coopA_NNT,504
recommend-intent,nvjet_hsh_256x136_64x4_2x1_v_bz_coopA_NNT,468
recommend-intent,nvjet_hsh_128x224_64x4_2x1_v_bz_coopA_NNT,468
recommend-intent,nvjet_hsh_128x256_64x4_2x1_v_bz_coopA_NNN,432
recommend-intent,nvjet_hsh_128x168_64x5_2x1_v_bz_NNT,396
recommend-intent,"void rtp_llm::transposeAxis01<int>(int*, int*, int const*, int, int)",324
recommend-intent,nvjet_hsh_256x144_64x4_2x1_v_bz_coopA_splitK_NNT,288
recommend-intent,nvjet_hsh_128x184_64x5_2x1_v_bz_coopA_NNT,288
recommend-intent,nvjet_hsh_256x80_64x5_2x1_v_bz_NNT,288
recommend-intent,nvjet_hsh_256x112_64x4_2x1_v_bz_coopA_splitK_NNT,288
recommend-intent,nvjet_hsh_192x128_64x5_2x1_v_bz_coopB_NNT,288
recommend-intent,nvjet_hsh_128x176_64x5_2x1_v_bz_NNT,288
recommend-intent,nvjet_hsh_384x64_64x3_1x1_h_bz_coopB_NNN,288
recommend-intent,nvjet_hsh_256x104_64x4_2x1_v_bz_coopA_NNT,288
recommend-intent,nvjet_hsh_256x88_64x4_2x1_v_bz_NNT,252
recommend-intent,nvjet_hsh_256x128_64x4_2x1_v_bz_coopA_splitK_NNT,252
recommend-intent,nvjet_hsh_128x272_64x4_2x1_v_bz_coopA_NNT,252
recommend-intent,nvjet_hsh_192x96_64x5_2x1_v_bz_NNT,252
recommend-intent,nvjet_hsh_256x96_64x4_2x1_v_bz_coopA_splitK_NNT,252
recommend-intent,nvjet_hsh_256x136_64x4_2x1_v_bz_coopA_splitK_NNT,252
recommend-intent,nvjet_hsh_128x232_64x4_2x1_v_bz_coopA_NNT,252
recommend-intent,nvjet_hsh_128x208_64x5_2x1_v_bz_coopA_NNT,216
recommend-intent,nvjet_hsh_128x248_64x4_2x1_v_bz_coopA_NNT,216
recommend-intent,nvjet_hsh_320x64_64x4_2x1_v_bz_NNT,216
recommend-intent,nvjet_hsh_192x192_64x3_2x1_v_bz_coopB_NNN,180
recommend-intent,nvjet_hsh_192x176_64x4_2x1_v_bz_coopB_NNT,180
recommend-intent,nvjet_hsh_128x136_64x6_4x1_v_bz_NNT,180
recommend-intent,nvjet_hsh_128x240_64x4_2x1_v_bz_coopA_NNT,180
recommend-intent,"void rtp_llm::generalRmsNorm<__half2, false, false, true, true, signed char>(__half2*, __half2*, __half2 const*, __half2 const*, __half2 const*, __half2 const*, __half2 const*, __half2 const*, float, int, int, float const*, float*, signed char*)",162
recommend-intent,nvjet_hss_512x8_64x3_2x1_v_bz_TNT,162
recommend-intent,"void rtp_llm::batchApplyRepetitionPenalty<float, (rtp_llm::RepetitionPenaltyType)1>(float*, float const*, int const*, int, int, int const*, int, int)",162
recommend-intent,"void rtp_llm::batchApplyMinLengthPenaltyNew<float>(float*, int const*, int const*, int const*, int const*, int, int)",162
recommend-intent,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, 4> >(at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, 4>)",162
recommend-intent,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1}, std::array<char*, (unsigned long)2>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1}, std::array<char*, (unsigned long)2>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",162
recommend-intent,"void rtp_llm::embedding_lookup_kernel<__half, false, false, false>(__half*, __half const*, double, __half const*, __half const*, int const*, int const*, int const*, int const*, int, long)",161
recommend-intent,nvjet_hsh_128x200_64x5_2x1_v_bz_coopA_NNT,144
recommend-intent,nvjet_hsh_128x192_64x5_2x1_v_bz_coopB_NNN,144
recommend-intent,nvjet_hsh_128x216_64x4_2x1_v_bz_coopA_NNT,144
recommend-intent,nvjet_hsh_256x160_64x4_1x2_h_bz_coopA_NNT,144
recommend-intent,nvjet_hsh_192x104_64x5_2x1_v_bz_NNT,144
recommend-intent,nvjet_hsh_256x104_64x4_2x1_v_bz_coopA_splitK_NNT,144
recommend-intent,nvjet_hsh_384x48_64x3_1x1_h_bz_NNT,144
recommend-intent,nvjet_hsh_256x152_64x4_2x1_v_bz_coopA_splitK_NNT,144
recommend-intent,nvjet_hsh_256x96_64x4_2x1_v_bz_coopA_NNT,144
recommend-intent,nvjet_hsh_128x304_64x3_2x1_v_bz_coopA_NNT,108
recommend-intent,nvjet_hsh_256x120_64x4_2x1_v_bz_coopA_splitK_NNT,108
recommend-intent,nvjet_hsh_192x208_64x4_2x1_v_bz_coopB_NNT,108
recommend-intent,nvjet_hsh_128x152_64x6_4x1_v_bz_NNT,108
recommend-intent,"void rtp_llm::lookupHiddenStateOfLastToken<__half>(__half*, __half const*, int const*, int, int, int)",90
recommend-intent,nvjet_hsh_192x88_64x6_2x1_v_bz_NNT,72
recommend-intent,nvjet_hsh_256x88_64x4_2x1_v_bz_splitK_NNT,72
recommend-intent,nvjet_hsh_384x80_64x3_1x1_h_bz_coopA_NNT,72
recommend-intent,nvjet_hsh_384x96_64x3_1x1_h_bz_coopA_NNT,72
recommend-intent,nvjet_hsh_128x80_64x8_1x2_h_bz_NNT,36
recommend-intent,nvjet_hsh_320x128_64x3_2x1_v_bz_coopB_NNT,36
recommend-intent,nvjet_hsh_256x56_64x5_2x1_v_bz_NNT,36
recommend-intent,nvjet_hsh_512x80_64x2_1x1_v_bz_coopA_splitK_NNT,36
recommend-intent,nvjet_hsh_256x120_64x4_2x1_v_bz_coopA_NNT,36
recommend-intent,nvjet_hsh_192x160_64x4_2x1_v_bz_coopB_NNT,36
recommend-intent,nvjet_hsh_64x128_64x8_2x1_v_bz_NNN,36
recommend-intent,nvjet_hsh_96x64_64x8_1x2_h_bz_NNN,36
recommend-intent,nvjet_hsh_96x128_64x6_2x1_v_bz_splitK_NNN,36
recommend-intent,nvjet_hsh_256x128_64x4_2x1_v_bz_coopA_NNT,36
recommend-intent,nvjet_hsh_192x208_64x4_1x2_h_bz_coopB_NNT,36
recommend-intent,nvjet_hsh_128x128_64x6_1x2_h_bz_NNT,36
recommend-intent,nvjet_hsh_256x112_64x4_2x1_v_bz_coopA_NNT,36
