Kernel_Name,Operator_Type,Appears_In_Cases,Total_Execution_Count,Potential_Issues
"void cub::CUB_200301_700_750_800_860_890_900_NS::DeviceSegmentedRadixSortKernel<cub::CUB_200301_700_750_800_860_890_900_NS::DeviceRadixSortPolicy<float, int, int>::Policy900, true, true, float, int, int*, int*, int, cub::CUB_200301_700_750_800_860_890_900_NS::detail::identity_decomposer_t>(float const*, float*, int const*, int*, int*, int*, int, int, int, cub::CUB_200301_700_750_800_860_890_900_NS::detail::identity_decomposer_t)",Sampling,qwen2-7b-query,988,
"void fastertransformer::batchApplyMinLengthPenaltyNew<float>(float*, int const*, int const*, int const*, int const*, int)",Sampling,qwen2-ast-sft,5,
"void fastertransformer::batchApplyTemperaturePenalty<float>(float*, float const*, float const*, int, int, int)",Sampling,"qwen2-7b-query, qwen2-ast-sft",253,
"void fastertransformer::setup_topk_runtime_args<(unsigned int)1024>(int, unsigned int, unsigned int*, int, float, float*, int, bool*)",Sampling,"qwen2-7b-query, qwen2-ast-sft",22,
"void fastertransformer::topk_stage1<float, 128, 8>(float const*, float*, int*, float*, bool const*, int, int const*, int, int const*, bool const*)",Sampling,qwen2-ast-sft,6,
"void fastertransformer::topk_stage2_sampling<float, 128, 8, false>(int const*, float*, int*, int*, bool*, float*, float*, float*, int, int const*, float, float const*, curandStateXORWOW*, int const*, int, bool const*)",Sampling,qwen2-ast-sft,6,
"void fastertransformer::topp_beam_topk_kernel<float, 1, 256>(float const*, int*, float*, int, int*, int*, float, float const*, bool const*)",Sampling,qwen2-7b-query,247,
"void fastertransformer::topp_sampling<float, 256>(float*, int*, int*, int*, bool*, float*, float*, int const*, int const*, int, curandStateXORWOW*, float, float const*, int const*, int, bool const*)",Sampling,qwen2-7b-query,247,
"void flashinfer::sampling::TopKTopPSamplingFromProbKernel<(unsigned int)1024, (cub::CUB_200500_700_750_800_860_890_900_NS::BlockScanAlgorithm)2, (cub::CUB_200500_700_750_800_860_890_900_NS::BlockReduceAlgorithm)2, (unsigned int)4, false, float, int>(float*, float*, int*, float*, int*, bool*, int, float, unsigned int, unsigned int)",Sampling,qwen3-32b-omega,108,
"void rtp_llm::batchApplyMinLengthPenaltyNew<float>(float*, int const*, int const*, int const*, int const*, int, int)",Sampling,"qwen3-32b-omega, recommend-intent",270,
"void rtp_llm::batchApplyRepetitionPenalty<float, (rtp_llm::RepetitionPenaltyType)1>(float*, float const*, int const*, int, int, int const*, int, int)",Sampling,recommend-intent,162,
"void rtp_llm::batchApplyTemperaturePenalty<float>(float*, float const*, float const*, int, int, int)",Sampling,qwen3-32b-omega,108,
"void fastertransformer::embedding_lookup_kernel<__half, false, false, false>(__half*, __half const*, double, __half const*, __half const*, int const*, int const*, int const*, int const*, int, long)",Embedding,qwen2-ast-sft,6,
"void rtp_llm::embedding_lookup_kernel<__half, false, false, false>(__half*, __half const*, double, __half const*, __half const*, int const*, int const*, int const*, int const*, int, long)",Embedding,recommend-intent,161,
"void rtp_llm::embedding_lookup_kernel<__nv_bfloat16, false, false, false>(__nv_bfloat16*, __nv_bfloat16 const*, double, __nv_bfloat16 const*, __nv_bfloat16 const*, int const*, int const*, int const*, int const*, int, long)",Embedding,qwen3-32b-omega,108,
"void at::native::(anonymous namespace)::indexSelectLargeIndex<c10::Half, int, unsigned int, 2, 2, -2, true>(at::cuda::detail::TensorInfo<c10::Half, unsigned int>, at::cuda::detail::TensorInfo<c10::Half, unsigned int>, at::cuda::detail::TensorInfo<int, unsigned int>, int, int, unsigned int, unsigned int, long)",Memory,qwen2-7b-query,6,
"void at::native::(anonymous namespace)::indexSelectSmallIndex<c10::Half, int, unsigned int, 2, 2, -2>(at::cuda::detail::TensorInfo<c10::Half, unsigned int>, at::cuda::detail::TensorInfo<c10::Half, unsigned int>, at::cuda::detail::TensorInfo<int, unsigned int>, int, int, unsigned int, long)",Memory,qwen2-7b-query,241,
"void at::native::(anonymous namespace)::indexSelectSmallIndex<c10::Half, long, unsigned int, 2, 2, -2>(at::cuda::detail::TensorInfo<c10::Half, unsigned int>, at::cuda::detail::TensorInfo<c10::Half, unsigned int>, at::cuda::detail::TensorInfo<long, unsigned int>, int, int, unsigned int, long)",Memory,qwen2-7b-query,246,
"void at::native::elementwise_kernel<128, 4, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::DivFunctor<c10::Half> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::DivFunctor<c10::Half> > const&)::{lambda(int)#1}>(int, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::DivFunctor<c10::Half> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::DivFunctor<c10::Half> > const&)::{lambda(int)#1})",Memory,qwen2-7b-query,247,
"void at::native::elementwise_kernel<128, 4, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",Memory,qwen2-7b-query,247,
"void at::native::elementwise_kernel<128, 4, void at::native::gpu_kernel_impl<at::native::CUDAFunctor_add<c10::Half> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<c10::Half> const&)::{lambda(int)#1}>(int, void at::native::gpu_kernel_impl<at::native::CUDAFunctor_add<c10::Half> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<c10::Half> const&)::{lambda(int)#1})",Memory,qwen2-7b-query,247,
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<c10::Half, at::native::NormTwoOps<c10::Half, float, c10::Half>, unsigned int, c10::Half, 4> >(at::native::ReduceOp<c10::Half, at::native::NormTwoOps<c10::Half, float, c10::Half>, unsigned int, c10::Half, 4>)",Memory,qwen2-7b-query,246,
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, 4> >(at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, 4>)",Memory,recommend-intent,162,
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#11}::operator()() const::{lambda(bool)#1}, at::detail::Array<char*, 2>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#11}::operator()() const::{lambda(bool)#1}, at::detail::Array<char*, 2>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",Memory,qwen2-7b-query,247,
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",Memory,qwen2-7b-query,247,
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1}, std::array<char*, (unsigned long)2>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1}, std::array<char*, (unsigned long)2>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",Memory,recommend-intent,162,
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2> >(int, at::native::AUnaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2>)",Memory,qwen2-7b-query,247,
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<c10::Half>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<c10::Half>, at::detail::Array<char*, 2>)",Memory,qwen2-7b-query,247,
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<c10::Half>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<c10::Half>, at::detail::Array<char*, 1>)",Memory,qwen2-7b-query,247,
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<float>, at::detail::Array<char*, 1>)",Memory,qwen2-7b-query,494,
"void fastertransformer::transpose4dBatchMajorKVCache<__half, __half, fastertransformer::KVBlockArray>(__half const*, __half const*, fastertransformer::KVBlockArray, int, int, int, float const*, int const*, int const*)",Memory,qwen2-7b-query,168,
"void fastertransformer::transposeAxis01<int>(int*, int*, int const*, int, int)",Memory,qwen2-ast-sft,12,
"void rtp_llm::transposeAxis01<__nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, int, int, int)",Memory,qwen3-32b-omega,108,
"void rtp_llm::transposeAxis01<float>(float*, float*, int, int, int)",Memory,qwen3-32b-omega,108,
"void rtp_llm::transposeAxis01<int>(int*, int*, int const*, int, int)",Memory,"qwen3-32b-omega, recommend-intent",540,
"fastertransformer::ConvertOffsetToAddr(unsigned long*, unsigned long const*, unsigned long const*, int const*, int, int, int, int)",Utility,qwen2-7b-query,247,
"fastertransformer::ConvertOffsetToBlockArrayData(int*, int const*, int, int, int)",Utility,qwen2-ast-sft,192,
"fastertransformer::getCuSeqLensKernel(int*, int const*, int const*, int)",Utility,qwen2-7b-query,6902,
"fastertransformer::getPaddingOffsetAndCuSeqLensKernel(int*, int*, int const*, int, int)",Utility,qwen2-7b-query,6,
"rtp_llm::ConvertOffsetToBlockArrayData(int*, int const*, int, int, int)",Utility,"qwen3-32b-omega, recommend-intent",6604,
"void fastertransformer::addBiasResidual<__half, 1, __half>(__half*, __half const*, __half const*, __half const*, __half const*, float const*, float const*, int, int)",Utility,"qwen2-7b-query, qwen2-ast-sft",7093,
"void rtp_llm::addBiasResidual<__half, 1, __half>(__half*, __half const*, __half const*, __half const*, __half const*, float const*, float const*, int, int)",Utility,recommend-intent,5798,
"void rtp_llm::addBiasResidual<__nv_bfloat16, 1, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16 const*, __nv_bfloat16 const*, __nv_bfloat16 const*, __nv_bfloat16 const*, float const*, float const*, int, int)",Utility,qwen3-32b-omega,6912,
"ncclDevKernel_AllGather_RING_LL(ncclDevComm*, unsigned long, ncclWork*)",Communication,qwen3-32b-omega,216,
"ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevComm*, unsigned long, ncclWork*)",Communication,qwen3-32b-omega,13824,
"ncclDevKernel_Broadcast_RING_LL(ncclDevComm*, unsigned long, ncclWork*)",Communication,qwen3-32b-omega,216,
"void fastertransformer::lookupHiddenStateOfLastToken<__half>(__half*, __half const*, int const*, int, int, int)",Others,qwen2-ast-sft,1,需要人工分类
"void rtp_llm::lookupHiddenStateOfLastToken<__half>(__half*, __half const*, int const*, int, int, int)",Others,recommend-intent,90,需要人工分类
"void rtp_llm::lookupHiddenStateOfLastToken<__nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16 const*, int const*, int, int, int)",Others,qwen3-32b-omega,14,需要人工分类
